Name,VAddr,DBAddr,DSize,Float,Signed,Units,Mask
Nom_Input_Freq,8388609,0,2,0,0,27,
Nom_Output_Freq,8388610,2,2,0,0,27,
Vab_Input,8388611,4,4,1,1,5,
Vab_Output,8388612,8,4,1,1,5,
Van_Input,8388613,12,4,1,1,5,
Vbn_Input,8388614,16,4,1,1,5,
Van_Output,8388615,20,4,1,1,5,
Vbn_Output,8388616,24,4,1,1,5,
Vab_Bypass,8388617,28,4,1,1,5,
Van_Bypass,8388618,32,4,1,1,5,
Vbn_Bypass,8388619,36,4,1,1,5,
Vab_Inverter,8388620,40,4,1,1,5,
Battery_Voltage,8388621,44,4,1,1,5,
IinA,8388623,48,4,1,1,3,
IinB,8388624,52,4,1,1,3,
IoutA,8388625,56,4,1,1,3,
IoutB,8388626,60,4,1,1,3,
DCIbatt,8388627,64,4,1,1,3,
Watts_Out_PhA,8388628,68,4,1,1,47,
Watts_Out_PhB,8388629,72,4,1,1,47,
Watts_Out,8388630,76,4,1,1,47,
VA_Out,8388631,80,4,1,1,8,
%_Full_Load,8388632,84,4,1,1,98,
PF_Disp_Out,8388633,88,4,1,1,15,
Battery_Cap,8388634,92,4,1,1,98,
Output_KW_Hours,8388635,96,4,1,1,19,
Output_Demand_KW,8388636,100,4,1,1,48,
Output_Frequency,8388637,104,4,1,1,27,
Input_Frequency,8388638,108,4,1,1,27,
Inverter_Freq,8388639,112,4,1,1,27,
Bypass_Frequency,8388640,116,4,1,1,27,
Amb_Temperature,8388641,120,4,1,1,62,
Batt_Time_Remain,8388642,124,4,0,0,73,
InvACOverVolt,20971620,100,1,0,0,,1
InvACUnderVolt,20971621,100,1,0,0,,2
InvUnderOverFreq,20971622,100,1,0,0,,4
BpACOverVolt,20971623,100,1,0,0,,8
BpACUnderVolt,20971624,100,1,0,0,,16
BpUnderOverFreq,20971625,100,1,0,0,,32
InACOverVolt,20971626,100,1,0,0,,64
InACUnderVolt,20971627,100,1,0,0,,128
InUnderOverFreq,20971628,101,1,0,0,,1
OutACOverVolt,20971629,101,1,0,0,,2
OutACUnderVolt,20971630,101,1,0,0,,4
OutUnderOverFreq,20971631,101,1,0,0,,8
RemEmerPowerOff,20971632,101,1,0,0,,16
ChargerOverTemp,20971633,102,1,0,0,,32
InvOverTemp,20971634,103,1,0,0,,1
OutputOverload,20971635,103,1,0,0,,2
RectifierOverCur,20971636,103,1,0,0,,4
InvOutOverCur,20971637,103,1,0,0,,8
DCLinkOverVolt,20971638,103,1,0,0,,16
DCLinkUnderVolt,20971639,103,1,0,0,,32
BattCurrentLimit,20971647,105,1,0,0,,128
InvStartupFail,20971648,106,1,0,0,,1
ShutdownImminent,20971650,106,1,0,0,,128
BatteryVoltLow,20971651,107,1,0,0,,1
UtilityOutLimits,20971652,107,1,0,0,,2
OutShortCircuit,20971653,107,1,0,0,,4
UtilityNoPresent,20971654,107,1,0,0,,8
BatteryVoltHigh,20971655,108,1,0,0,,8
ToBypassCommand,20971660,111,1,0,0,,16
BpOutTolerance,20971661,112,1,0,0,,32
BattSwCB2Open,20971662,112,1,0,0,,128
BypassSwCB4Open,20971663,113,1,0,0,,2
InvOverTempTrip,20971664,113,1,0,0,,8
BpPhaseRotation,20971665,114,1,0,0,,8
PhaseAOverload,20971671,117,1,0,0,,8
PhaseBOverload,20971672,117,1,0,0,,16
PhaseAOverloadHL,20971673,117,1,0,0,,64
PhaseBOverloadHL,20971674,117,1,0,0,,128
PhaseAOverloadEL,20971675,118,1,0,0,,2
PhaseBOverloadEL,20971676,118,1,0,0,,4
UPSOnBattery,20971677,118,1,0,0,,16
UPSOnBypass,20971678,118,1,0,0,,32
LowBattShutdown,20971679,118,1,0,0,,128
BatteryTestFail,20971682,119,1,0,0,,32
SiteWiringFault,20971685,120,1,0,0,,1
BattDisconnected,20971686,120,1,0,0,,4
TransfoOverTemp,20971687,120,1,0,0,,16
AmbUnderTemp,20971688,120,1,0,0,,32
AmbOverTemp,20971689,120,1,0,0,,64
AutoShutdown,20971690,121,1,0,0,,2
InvOutFail,20971691,122,1,0,0,,2
OnBypass,8388809,1000,2,0,0,95,
OnMaintBypass,8388810,1002,2,0,0,95,
BattEnergized,8388811,1004,2,0,0,95,
UtilityPresent,8388812,1006,2,0,0,95,
RectifierOutOn,8388813,1008,2,0,0,95,
InverterOutOn,8388814,1010,2,0,0,95,
ChargerOn,8388815,1012,2,0,0,95,
BattDepleted,8388816,1014,2,0,0,95,
BpBreakerCont,8388817,1016,2,0,0,95,
StaticSwitch,8388818,1018,2,0,0,95,
BattBreaker,8388819,1020,2,0,0,95,
BpPresent,8388820,1022,2,0,0,95,
SystemNormal,8388821,1024,2,0,0,95,
